Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
1,2,0,1,0,1,0,2,0,1,0,0,2,1,0,-4.70E-01
1,2,1,0,0,0,0,1,1,2,0,1,1,1,0,-4.71E-01
0,3,1,0,0,0,1,0,1,2,1,0,1,1,0,-4.59E-01
2,2,0,0,0,0,1,1,0,2,1,0,1,1,0,-4.77E-01
3,1,0,0,0,0,1,2,0,1,0,0,1,1,1,-4.29E-01
1,2,1,0,0,0,0,1,2,1,0,0,0,0,3,-4.40E-01
2,1,1,0,0,0,1,1,1,1,0,0,0,0,3,-4.28E-01
1,2,1,0,0,1,0,2,1,0,0,0,0,0,3,-4.37E-01
0,1,0,3,0,3,0,1,0,0,0,0,0,0,3,-4.67E-01
1,2,1,0,0,0,1,1,1,1,0,0,0,1,2,-4.24E-01
1,0,0,2,1,0,2,1,0,1,0,0,1,0,2,-4.85E-01
2,1,1,0,0,0,1,0,3,0,0,1,0,0,2,-4.45E-01
1,1,0,2,0,0,1,2,0,1,1,0,0,0,2,-4.90E-01
0,2,1,1,0,1,1,2,0,0,1,0,0,0,2,-4.61E-01
2,0,0,1,1,1,1,1,0,1,0,0,1,1,1,-4.67E-01
1,0,3,0,0,0,2,0,1,1,0,1,0,1,1,-4.28E-01
1,1,1,1,0,0,1,1,0,2,1,0,0,1,1,-4.66E-01
0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,-4.84E-01
1,2,0,0,1,0,1,0,3,0,0,0,2,0,1,-4.59E-01
