Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
1,2,1,0,0,0,1,1,1,1,0,0,0,1,2,-3.50E-01
1,0,0,2,1,0,2,1,0,1,0,0,1,0,2,-4.06E-01
2,1,1,0,0,0,1,0,3,0,0,1,0,0,2,-3.69E-01
1,1,0,2,0,0,1,2,0,1,1,0,0,0,2,-3.90E-01
0,2,1,1,0,1,1,2,0,0,1,0,0,0,2,-3.84E-01
2,0,0,1,1,1,1,1,0,1,0,0,1,1,1,-3.93E-01
1,0,3,0,0,0,2,0,1,1,0,1,0,1,1,-3.88E-01
1,1,1,1,0,0,1,1,0,2,1,0,0,1,1,-3.94E-01
0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,-4.23E-01
1,2,0,0,1,0,1,0,3,0,0,0,2,0,1,-3.95E-01
