Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,bond
2,1,1,0,0,0,1,0,3,0,0,1,0,0,2,141.305
1,1,0,2,0,0,1,2,0,1,1,0,0,0,2,141.27
0,2,1,1,0,1,1,2,0,0,1,0,0,0,2,141.148
2,0,0,1,1,1,1,1,0,1,0,0,1,1,1,141.892
1,0,3,0,0,0,2,0,1,1,0,1,0,1,1,142.923
1,1,1,1,0,0,1,1,0,2,1,0,0,1,1,141.995
0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,140.623
1,2,0,0,1,0,1,0,3,0,0,0,2,0,1,141.71
4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,141
0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,139
0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,142
0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,139
0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,139
