Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,0,2,1,1,1,0,0,2,1,1,2,0,0,0,-0.8308126
1,1,1,0,1,1,0,1,2,0,2,1,0,0,0,-1.2526126
1,0,2,1,0,1,0,0,1,2,0,1,1,0,1,-0.7986026
1,0,2,1,0,1,0,0,1,2,0,1,0,1,1,-0.8677626
1,0,1,1,1,0,1,1,0,2,0,1,0,2,0,-0.8882726
1,0,0,2,1,0,1,1,0,2,0,1,2,0,0,-0.5702826
2,2,0,0,0,0,0,0,1,3,0,0,3,0,0,-1.5654926
0,3,0,1,0,1,0,0,2,1,0,0,3,0,0,-1.3948526
0,2,0,2,0,1,1,0,1,1,0,0,3,0,0,-1.1269126
0,0,0,3,1,3,1,0,0,0,0,0,3,0,0,-0.3816926
2,1,1,0,0,0,1,0,1,2,0,1,2,0,0,-1.5463126
2,2,0,0,0,0,0,0,3,1,1,0,2,0,0,-1.6051626
2,1,1,0,0,0,1,1,0,2,0,0,2,1,0,-1.7343726
2,0,0,2,0,1,1,0,0,2,0,0,2,0,1,-1.0851126
1,1,0,2,0,1,1,0,0,2,0,0,2,0,1,-1.1208826
1,0,0,2,1,0,0,2,0,2,1,1,1,0,0,-0.3307026
0,1,1,0,2,1,0,0,1,2,0,1,1,1,0,-0.7925326
2,0,1,0,1,1,0,0,2,1,0,1,1,0,1,-1.3575326
0,1,0,2,1,1,1,0,1,1,0,1,1,0,1,-0.8215326
0,1,2,1,0,2,0,1,0,1,0,1,1,1,0,-0.7212826
2,2,0,0,0,0,0,1,0,3,0,0,0,3,0,-1.8466726
2,0,0,0,2,0,1,2,1,0,0,0,0,3,0,-1.2401126
1,0,1,0,2,1,1,1,1,0,0,0,0,3,0,-0.9881926
0,0,3,0,1,3,1,0,0,0,0,0,0,3,0,-1.0978526
1,1,2,0,0,0,1,0,1,2,0,0,1,2,0,-1.6298126
1,1,1,0,1,2,0,0,1,1,0,1,0,2,0,-1.5083426
1,1,1,1,0,0,1,0,1,2,1,0,0,2,0,-1.4095826
3,0,1,0,0,0,1,1,1,1,0,0,0,2,1,-1.7856426
2,1,1,0,0,0,1,1,1,1,0,0,0,2,1,-1.7686226
1,2,0,1,0,1,0,2,0,1,0,0,2,1,0,-1.2443626
1,2,1,0,0,0,0,1,1,2,0,1,1,1,0,-1.5926526
0,3,1,0,0,0,1,0,1,2,1,0,1,1,0,-1.5522726
2,2,0,0,0,0,1,1,0,2,1,0,1,1,0,-1.6843626
3,1,0,0,0,0,1,2,0,1,0,0,1,1,1,-1.5251926
1,2,1,0,0,0,0,1,2,1,0,0,0,0,3,-1.6516226
2,1,1,0,0,0,1,1,1,1,0,0,0,0,3,-1.7082926
1,2,1,0,0,1,0,2,1,0,0,0,0,0,3,-1.6002926
0,1,0,3,0,3,0,1,0,0,0,0,0,0,3,-0.8318026
1,2,1,0,0,0,1,1,1,1,0,0,0,1,2,-1.7210726
1,0,0,2,1,0,2,1,0,1,0,0,1,0,2,-0.6517926
2,1,1,0,0,0,1,0,3,0,0,1,0,0,2,-1.7563026
1,1,0,2,0,0,1,2,0,1,1,0,0,0,2,-1.0429426
0,2,1,1,0,1,1,2,0,0,1,0,0,0,2,-1.1987826
2,0,0,1,1,1,1,1,0,1,0,0,1,1,1,-1.1726626
1,0,3,0,0,0,2,0,1,1,0,1,0,1,1,-1.3629726
1,1,1,1,0,0,1,1,0,2,1,0,0,1,1,-1.2731526
0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,-0.7298126
1,2,0,0,1,0,1,0,3,0,0,0,2,0,1,-1.4124026
4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,-1.9376326
0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,-1.8512706
0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,-2.0906326
0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,-0.1210626
0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,-0.0835226
