Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
2,0,0,0,2,0,0,0,4,0,0,2,1,0,0,-0.204558
1,0,1,0,2,0,0,0,4,0,1,1,1,0,0,-0.214688
0,2,2,0,0,0,0,0,4,0,2,0,0,0,1,-0.202398
2,1,1,0,0,0,0,0,4,0,0,1,0,0,2,-0.179838
2,0,2,0,0,0,0,0,4,0,0,2,0,0,1,-0.213398
2,1,1,0,0,0,0,0,4,0,0,0,1,0,2,-0.183248
1,0,0,0,3,0,0,1,3,0,1,1,1,0,0,-0.215998
1,1,0,0,2,0,0,1,3,0,1,0,1,1,0,-0.190688
2,1,0,0,1,0,0,1,3,0,0,2,0,0,1,-0.180938
2,1,0,0,1,0,0,1,3,0,0,0,2,0,1,-0.180868
1,1,2,0,0,0,0,1,3,0,1,0,0,0,2,-0.197568
1,1,2,0,0,0,0,1,3,0,0,1,0,0,2,-0.193858
0,0,0,0,4,0,0,2,2,0,2,1,0,0,0,-0.211558
2,0,1,0,1,0,0,2,2,0,0,2,1,0,0,-0.200518
1,1,0,0,2,1,0,1,2,0,0,0,1,1,1,-0.190278
0,0,1,1,2,0,2,0,2,0,3,0,0,0,0,-0.198008
0,2,1,1,0,1,1,0,2,0,1,0,1,0,1,-0.209148
2,0,0,1,1,1,0,0,2,1,0,1,1,0,1,-0.171718
0,0,1,0,3,0,1,2,1,0,3,0,0,0,0,-0.211498
0,1,1,0,2,1,0,2,1,0,0,1,1,1,0,-0.209568
0,0,2,0,2,1,0,2,1,0,1,1,0,1,0,-0.203408
1,0,0,1,2,0,0,2,1,1,0,2,0,1,0,-0.186798
1,0,0,1,2,0,0,2,1,1,0,3,0,0,0,-0.190968
2,0,1,0,1,0,0,2,1,1,1,2,0,0,0,-0.199268
2,1,1,0,0,0,0,0,0,4,0,1,1,1,0,-0.183698
1,0,1,2,0,0,0,0,0,4,1,1,1,0,0,-0.197268
0,2,1,1,0,0,0,0,0,4,2,0,0,1,0,-0.218698
0,2,0,2,0,0,0,0,0,4,2,0,1,0,0,-0.188118
0,1,2,1,0,0,0,0,0,4,2,1,0,0,0,-0.235788
0,1,1,2,0,0,0,0,0,4,2,0,1,0,0,-0.203998
1,2,0,0,1,0,0,0,1,3,1,0,1,1,0,-0.175788
1,1,1,0,1,0,0,0,1,3,1,0,1,1,0,-0.191198
1,0,1,1,1,0,0,0,1,3,0,2,1,0,0,-0.184268
